similarity,sentence1,sentence2
1,người lái xe chở người từ 10 đến 30 chỗ ngồi ( hạng D) lái xe hạng C kéo rơ mooc (FC) phải đủ bao nhiêu tuổi trở lên,độ tuổi nào thì người lái xe chở người từ 10 đến 30 chỗ ngồi ( hạng D) lái xe hạng C kéo rơ mooc (FC) 
0,người lái xe chở người từ 10 đến 30 chỗ ngồi ( hạng D) lái xe hạng C kéo rơ mooc (FC) phải đủ bao nhiêu tuổi trở lên,toán học được ứng dụng như thế nào 
1,người đủ 16 tuổi được điều khiển các loại xe nào,hãy cho biết người đủ 16 tuổi được điều khiển các loại xe nào
1,người đủ 16 tuổi được điều khiển các loại xe nào,các loại xe nào người đủ 16 tuổi được điều khiển 
0,người đủ 16 tuổi được điều khiển các loại xe nào,cáp treo được sử dụng như thế nào 
0,người đủ 16 tuổi được điều khiển các loại xe nào,cây hoa tuylip có hoa màu gì
1,việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào,hãy cho biết việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào
1,việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào,việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện vào thời điển nào và địa điểm ở đâu 
0,việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào,cơ chế hoạt động của đồng hồ báo thức như thế nào 
0,việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào,ghép cành nhằm mục đích gì 
1,người có giấy phép lái xe hạng FC được điều khiển các loại xe nào,hãy cho biết người có giấy phép lái xe hạng FC được điều khiển các loại xe nào
1,người có giấy phép lái xe hạng FC được điều khiển các loại xe nào,các loại xe nào dành cho người có giấy phép lái xe hạng FC được điều khiển
0,người có giấy phép lái xe hạng FC được điều khiển các loại xe nào,tập thể dục có lợi ích gì
0,người có giấy phép lái xe hạng FC được điều khiển các loại xe nào,chế độ ăn như thế nào để bảo đảm sức khỏe 
1,người có giấy phép lái xe hạng FE được điều khiển các loại xe nào,hãy cho biết người có giấy phép lái xe hạng FE được điều khiển các loại xe nào
1,người có giấy phép lái xe hạng FE được điều khiển các loại xe nào,các loại xe nào người có giấy phép lái xe hạng FE được điều khiển 
0,người có giấy phép lái xe hạng FE được điều khiển các loại xe nào,khẩu trang dùng để làm gì 
0,người có giấy phép lái xe hạng FE được điều khiển các loại xe nào,tại sao chúng ta phải ngủ 
1,khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào,hãy cho biết khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào
1,khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào,khi điều khiển xe cơ giới khi nào người lái xe phải bật đèn tín hiệu báo rẽ 
0,khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào,tại sao phải đi giày khi đi bộ 
0,khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào,động cơ xăng để làm gì 
1,trong trường hợp xe bị vượt bất ngờ tăng tốc độ phát hiện có xe đi ngược chiều người lái xe có được phép vượt xe khác không,hãy cho biết trong trường hợp xe bị vượt bất ngờ tăng tốc độ phát hiện có xe đi ngược chiều người lái xe có được phép vượt xe khác không
1,trong trường hợp xe bị vượt bất ngờ tăng tốc độ phát hiện có xe đi ngược chiều người lái xe có được phép vượt xe khác không,trong trường hợp xe bị vượt bất ngờ tăng tốc độ phát hiện có xe đi ngược chiều người lái xe vượt xe khác là đúng hay sai 
0,trong trường hợp xe bị vượt bất ngờ tăng tốc độ phát hiện có xe đi ngược chiều người lái xe có được phép vượt xe khác không,nước trong đường ống được dẫn đi như thế nào 
0,trong trường hợp xe bị vượt bất ngờ tăng tốc độ phát hiện có xe đi ngược chiều người lái xe có được phép vượt xe khác không,dòng điện được đo bằng gì
1,trên đường một chiều trước khi đến vạch người đi bộ qua đường có một xe tải đang đứng trước làn đường bên phải người lái xe phải làm gì nếu xe của mình đang đi trên làn đường bên trái,hãy cho biết trên đường một chiều trước khi đến vạch người đi bộ qua đường có một xe tải đang đứng trước làn đường bên phải người lái xe phải làm gì nếu xe của mình đang đi trên làn đường bên trái
1,trên đường một chiều trước khi đến vạch người đi bộ qua đường có một xe tải đang đứng trước làn đường bên phải người lái xe phải làm gì nếu xe của mình đang đi trên làn đường bên trái,trên đường một chiều trước khi đến vạch người đi bộ qua đường có một xe tải đang đứng trước làn đường bên phải nếu xe của mình đang đi trên làn đường bên trái thì người lái xe cần phải làm gì 
0,trên đường một chiều trước khi đến vạch người đi bộ qua đường có một xe tải đang đứng trước làn đường bên phải người lái xe phải làm gì nếu xe của mình đang đi trên làn đường bên trái,có được phép đi bộ dưới lòng đường không 
0,trên đường một chiều trước khi đến vạch người đi bộ qua đường có một xe tải đang đứng trước làn đường bên phải người lái xe phải làm gì nếu xe của mình đang đi trên làn đường bên trái,đi xe đạp trên vỉa hè công viên có được không 
1,khi lái xe trên đường vắng mà cảm thấy buồn ngủ người lái xe nên chọn cách xử lý như thế nào,hãy cho biết khi lái xe trên đường vắng mà cảm thấy buồn ngủ người lái xe nên chọn cách xử lý như thế nào
1,khi lái xe trên đường vắng mà cảm thấy buồn ngủ người lái xe nên chọn cách xử lý như thế nào,người lái xe phải xử lý thế nào khi lái xe trên đường vắng mà cảm thấy buồn ngủ 
0,khi lái xe trên đường vắng mà cảm thấy buồn ngủ người lái xe nên chọn cách xử lý như thế nào,xây nhà không có móng nhà thì sao 
0,khi lái xe trên đường vắng mà cảm thấy buồn ngủ người lái xe nên chọn cách xử lý như thế nào,bình ga bị hở khi tiếp xúc với lửa thì có cháy không 
1,trên đường cao tốc người lái xe xử lý như thế nào khi vượt quá lối ra của đường định rẽ,hãy cho biết trên đường cao tốc người lái xe xử lý như thế nào khi vượt quá lối ra của đường định rẽ
1,trên đường cao tốc người lái xe xử lý như thế nào khi vượt quá lối ra của đường định rẽ,trên đường cao tốc người lái xe cần làm gì khi vượt quá lối ra của đường định rẽ 
0,trên đường cao tốc người lái xe xử lý như thế nào khi vượt quá lối ra của đường định rẽ,những đường nào ô tô không được phép đi vào 
0,trên đường cao tốc người lái xe xử lý như thế nào khi vượt quá lối ra của đường định rẽ,xe đạp bị cấm ở những khu vực nào 
1,khi phát hiện hành vi giả khai báo mất hoặc tẩy xoá làm sai lệch các thông tin trên giấy phép lái xe sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả có hành vi cố tình gian dối để được đổi cấp mới cấp lại giấy phép lái xe ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc không được cấp giấy phép lái xe trong thời gian bao nhiêu năm,hãy cho biết khi phát hiện hành vi giả khai báo mất hoặc tẩy xoá làm sai lệch các thông tin trên giấy phép lái xe sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả có hành vi cố tình gian dối để được đổi cấp mới cấp lại giấy phép lái xe ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc không được cấp giấy phép lái xe trong thời gian bao nhiêu năm
1,khi phát hiện hành vi giả khai báo mất hoặc tẩy xoá làm sai lệch các thông tin trên giấy phép lái xe sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả có hành vi cố tình gian dối để được đổi cấp mới cấp lại giấy phép lái xe ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc không được cấp giấy phép lái xe trong thời gian bao nhiêu năm,khi phát hiện hành vi giả khai báo mất hoặc tẩy xoá làm sai lệch các thông tin trên giấy phép lái xe sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả có hành vi cố tình gian dối để được đổi cấp mới cấp lại giấy phép lái xe ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc không được cấp giấy phép lái xe trong thời gian tối đa là bao lâu theo luật pháp 
0,khi phát hiện hành vi giả khai báo mất hoặc tẩy xoá làm sai lệch các thông tin trên giấy phép lái xe sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả có hành vi cố tình gian dối để được đổi cấp mới cấp lại giấy phép lái xe ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc không được cấp giấy phép lái xe trong thời gian bao nhiêu năm,vừa đi xe máy vừa sử dụng dù che mưa là đúng hay sai 
0,khi phát hiện hành vi giả khai báo mất hoặc tẩy xoá làm sai lệch các thông tin trên giấy phép lái xe sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả có hành vi cố tình gian dối để được đổi cấp mới cấp lại giấy phép lái xe ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc không được cấp giấy phép lái xe trong thời gian bao nhiêu năm,có nên lái xe khi trời đang mưa quá to không 
1,người lái xe mô tô xử lý như thế nào khi cho xe mô tô phái sau vượt,hãy cho biết người lái xe mô tô xử lý như thế nào khi cho xe mô tô phái sau vượt
1,người lái xe mô tô xử lý như thế nào khi cho xe mô tô phái sau vượt,người lái xe mô tô phải làm gì khi cho xe mô tô phái sau vượt
0,người lái xe mô tô xử lý như thế nào khi cho xe mô tô phái sau vượt,cây đào cần được chăm sóc như thế nào để nở hoa đẹp 
0,người lái xe mô tô xử lý như thế nào khi cho xe mô tô phái sau vượt,loại nấm nào không được ăn 
1,khi xe ô tô đi ngược chiều đến rất gần xe ô tô phía sau cùng chiều cố tình vượt người lái xe xử lý như thế nào,hãy cho biết khi xe ô tô đi ngược chiều đến rất gần xe ô tô phía sau cùng chiều cố tình vượt người lái xe xử lý như thế nào
1,khi xe ô tô đi ngược chiều đến rất gần xe ô tô phía sau cùng chiều cố tình vượt người lái xe xử lý như thế nào,khi xe ô tô đi ngược chiều đến rất gần xe ô tô phía sau cùng chiều cố tình vượt người lái xe cần làm gì để đảm bảo an toàn giao thông và đúng pháp luật 
0,khi xe ô tô đi ngược chiều đến rất gần xe ô tô phía sau cùng chiều cố tình vượt người lái xe xử lý như thế nào,đồ dùng điện tử phải đáp ứng các yêu cầu gì để đảm bảo an toàn 
0,khi xe ô tô đi ngược chiều đến rất gần xe ô tô phía sau cùng chiều cố tình vượt người lái xe xử lý như thế nào,trung tâm thương mại quy định việc đỗ xe như thế nào 
1,khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe xử lý như thế nào,hãy cho biết khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe xử lý như thế nào
1,khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe xử lý như thế nào,khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe phải làm gì để đảm bảo an toàn cho mình và những người khác 
0,khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe xử lý như thế nào,nhà vệ sinh công cộng quy định việc sử dụng như thế nào 
0,khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe xử lý như thế nào,những loại hàng nhái nào là hợp pháp 
1,để đảm bảo an toàn khi tham gia giao thông người lái xe mô tô cần thực hiện như thế nào,hãy tìm hiểu để đảm bảo an toàn khi tham gia giao thông người lái xe mô tô cần thực hiện như thế nào
1,để đảm bảo an toàn khi tham gia giao thông người lái xe mô tô cần thực hiện như thế nào,để đảm bảo an toàn khi tham gia giao thông những quy tắc nào dành cho người lái xe mô tô 
0,để đảm bảo an toàn khi tham gia giao thông người lái xe mô tô cần thực hiện như thế nào,cầu chì có vai trò quan trọng như thế nào 
0,để đảm bảo an toàn khi tham gia giao thông người lái xe mô tô cần thực hiện như thế nào,cần phải làm gì khi bị rắn cắn 
1,đường bộ trong khu vực đông dân cư gồm những đường nào,hãy cho biết đường bộ trong khu vực đông dân cư gồm những đường nào
1,đường bộ trong khu vực đông dân cư gồm những đường nào,những đường nào là đường bộ trong khu vực đông dân cư
0,đường bộ trong khu vực đông dân cư gồm những đường nào,ai được phép sử dụng súng 
0,đường bộ trong khu vực đông dân cư gồm những đường nào,mua bán súng trái phép bị xử phạt như thế nào 
1,xe máy kéo xe công nông xe lam xe lôi máy xe xích lô máy xe ba gác máy xe máy chuyên dùng và các loại xe tương tự ( loại đang được phép hoạt động) tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu,hãy cho biết xe máy kéo xe công nông xe lam xe lôi máy xe xích lô máy xe ba gác máy xe máy chuyên dùng và các loại xe tương tự ( loại đang được phép hoạt động) tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu
1,xe máy kéo xe công nông xe lam xe lôi máy xe xích lô máy xe ba gác máy xe máy chuyên dùng và các loại xe tương tự ( loại đang được phép hoạt động) tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu,tốc độ tối đa dành cho xe máy kéo xe công nông xe lam xe lôi máy xe xích lô máy xe ba gác máy xe máy chuyên dùng và các loại xe tương tự ( loại đang được phép hoạt động) tham gia giao thông là bao nhiêu
0,xe máy kéo xe công nông xe lam xe lôi máy xe xích lô máy xe ba gác máy xe máy chuyên dùng và các loại xe tương tự ( loại đang được phép hoạt động) tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu,mức độ tổn thương của nạn nhân có quyết định bản án của bị cáo không 
0,xe máy kéo xe công nông xe lam xe lôi máy xe xích lô máy xe ba gác máy xe máy chuyên dùng và các loại xe tương tự ( loại đang được phép hoạt động) tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu,trong trường hợp nào người gây ấn bị xử án tử hình 
1,trên đường bộ trong khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ tối đa cho phếp là 40km/h,hãy cho biết trên đường bộ trong khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ tối đa cho phếp là 40km/h
1,trên đường bộ trong khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ tối đa cho phếp là 40km/h,trên đường bộ trong khu vực đông dân cư tham gia giao thông với tốc độ tối đa cho phếp là 40km/h dành cho những loại xe nào 
0,trên đường bộ trong khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ tối đa cho phếp là 40km/h,tại sao không được đứng dưới tán cây khi trời mưa to 
0,trên đường bộ trong khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ tối đa cho phếp là 40km/h,tại sao phải ngắt điện khi trời mưa bão 
1,trên đường bộ khi vực đông dân cư loại xe cơ giới nào tham gia giao thông với tốc độ cho phép là 50km/h,hãy cho biết trên đường bộ khi vực đông dân cư loại xe cơ giới nào tham gia giao thông với tốc độ cho phép là 50km/h
1,trên đường bộ khi vực đông dân cư loại xe cơ giới nào tham gia giao thông với tốc độ cho phép là 50km/h,trên đường bộ khi vực đông dân cư tham gia giao thông với tốc độ cho phép là 50km/h là dành cho loại xe cơ giới nào 
0,trên đường bộ khi vực đông dân cư loại xe cơ giới nào tham gia giao thông với tốc độ cho phép là 50km/h,thế giới chống nạn phân biệt chủng tộc như thế nào 
0,trên đường bộ khi vực đông dân cư loại xe cơ giới nào tham gia giao thông với tốc độ cho phép là 50km/h,khi nào đèn điện cao áp được bật
1,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 60km/h,hãy cho biết trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 60km/h
1,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 60km/h,trên đường bộ ngoài khu vực đông dân cư tham gia giao thông với tốc độ cho phép tối đa là 60km/h là dành cho loại xe nào 
0,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 60km/h,đường cao tốc quy định tốc độ như thế nào 
0,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 60km/h,quy định làn đường trên đường cao tốc như thế nào 
1,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 70km/h,hãy cho biết trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 70km/h
1,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 70km/h,trên đường bộ ngoài khu vực đông dân cư tham gia giao thông với tốc độ cho phép tối đa là 70km/h dành cho loại xe nào 
0,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 70km/h,tại sao phải dừng xe khi có dấu hiệu yêu cầu dừng của cảnh sát giao thông 
0,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 70km/h,những đoạn đường nào được phép rẽ phải khi đèn đỏ 
1,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 80km/h,hãy cho biết trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 80km/h
1,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 80km/h,trên đường bộ ngoài khu vực đông dân cư tham gia giao thông với tốc độ cho phép tối đa là 80km/h là dành cho loại xe nào 
0,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 80km/h,vị trí của người lái xe ở đâu trên ô tô 
0,trên đường bộ ngoài khu vực đông dân cư loại xe nào tham gia giao thông với tốc độ cho phép tối đa là 80km/h,người lái xe cần đảm bảo những điều kiện gì trước khi tham gia giao thông 
1,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ đến 60km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,hãy cho biết trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ đến 60km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu
1,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ đến 60km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ đến 60km/h người lái xe phải duy trì khoảng cách tối thiểu là bao nhiêu để đảm bảo an toàn với xe đang chạy phía trước 
0,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ đến 60km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,trẻ em được học tiếng anh bắt đầu từ khi nào 
0,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ đến 60km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,đi xe máy vào nơi ngập úng thì xe có bị chết máy không 
1,trên đường cao tốc trừ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giới đang chạy với tốc độ trên 80k/h đến 100km/h người lái xe phải uy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,hãy cho biết trên đường cao tốc trừ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giới đang chạy với tốc độ trên 80k/h đến 100km/h người lái xe phải uy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu
1,trên đường cao tốc trừ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giới đang chạy với tốc độ trên 80k/h đến 100km/h người lái xe phải uy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,trên đường cao tốc trừ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giới đang chạy với tốc độ trên 80k/h đến 100km/h người lái xe phải uy trì khoảng cách tối thiểu là bao nhiêu để đảm bảo an toàn với xe đang chạy phía trước 
0,trên đường cao tốc trừ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giới đang chạy với tốc độ trên 80k/h đến 100km/h người lái xe phải uy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,tại sao ve lại kêu vào mùa hè 
0,trên đường cao tốc trừ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giới đang chạy với tốc độ trên 80k/h đến 100km/h người lái xe phải uy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,mưa phùn xuất hiện vào mùa nào 
1,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ trên 100km/h đến 120km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,hãy cho biết trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ trên 100km/h đến 120km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu
1,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ trên 100km/h đến 120km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ trên 100km/h đến 120km/h người lái xe phải duy trì khoảng cách tối thiểu là bao nhiêu để đảm bảoan toàn với xe đang chạy phía trước 
0,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ trên 100km/h đến 120km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,tiêu chuẩn lương thực của trẻ em 6 tuổi 1 tháng là bao nhiêu 
0,trên đương cao tốc từ khi nhập làn và tách làn với điều kiện mặt đường khô ráo xe cơ giớ đang chạy với tốc độ trên 100km/h đến 120km/h người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu,cần làm gì để giảm thiểu ô nhiễm môi trường 
1,người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào,hãy cho biết người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào
1,người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào,khi nào người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm 
0,người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào,tại sao ngồi trên ô tô không cần đội mũ bảo hiểm 
0,người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào,làm thế nào để cải thiện chất lượng môi trường 
1,khái niệm xe quá tải trọng của đường bộ được hiểu như thế nào,hãy giải thích khái niệm xe quá tải trọng của đường bộ được hiểu như thế nào
1,khái niệm xe quá tải trọng của đường bộ được hiểu như thế nào,định nghĩa thế nào về khái niệm xe quá tải trọng của đường bộ 
0,khái niệm xe quá tải trọng của đường bộ được hiểu như thế nào,ai là người nghĩ ra ý tưởng về đèn giao thông 
0,khái niệm xe quá tải trọng của đường bộ được hiểu như thế nào,máy tính cây do ai sáng tạo ra 
1,vận tải đa phương thức được hiểu như thế nào,hãy cho biết vận tải đa phương thức được hiểu như thế nào
1,vận tải đa phương thức được hiểu như thế nào,nêu khái niệm về vận tải đa phương thức
0,vận tải đa phương thức được hiểu như thế nào,đi xe buýt có được phép sử dụng thiết bị quay phim không 
0,vận tải đa phương thức được hiểu như thế nào,khi nào được phép sử dụng điện thoại trong giờ học 
1,khái niệm 'hàng nguy hiểm' được hiểu như thế nào,hãy cho biết khái niệm 'hàng nguy hiểm' được hiểu như thế nào
1,khái niệm 'hàng nguy hiểm' được hiểu như thế nào,nêu định nghĩa về khái niệm 'hàng nguy hiểm' 
0,khái niệm 'hàng nguy hiểm' được hiểu như thế nào,tại sao khi ngủ lại mơ
0,khái niệm 'hàng nguy hiểm' được hiểu như thế nào,tại sao túi ni lông lại được dùng phổ biến 
1,trong trường hợp đặt biệt xe quá tải trọng quá khổ giới hạn của đường bộ xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào,hãy cho biết trong trường hợp đặt biệt xe quá tải trọng quá khổ giới hạn của đường bộ xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào
1,trong trường hợp đặt biệt xe quá tải trọng quá khổ giới hạn của đường bộ xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào,trong trường hợp đặt biệt cơ quan nào cấp phép cho xe quá tải trọng quá khổ giới hạn của đường bộ xe bánh xích có thể lưu hành trên đường
0,trong trường hợp đặt biệt xe quá tải trọng quá khổ giới hạn của đường bộ xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào,tại sao người Việt lại thích ăn cơm tẻ 
0,trong trường hợp đặt biệt xe quá tải trọng quá khổ giới hạn của đường bộ xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào,xích lô xuất hiện ở nước ta từ khi nào 
1,hoạt động vận tải đường bộ được hiểu như thế nào,hãy cho biết hoạt động vận tải đường bộ được hiểu như thế nào
1,hoạt động vận tải đường bộ được hiểu như thế nào,hay giải thích khái niệm về hoạt động vận tải đường bộ 
0,hoạt động vận tải đường bộ được hiểu như thế nào,có bao nhiêu loại ghế ngồi 
0,hoạt động vận tải đường bộ được hiểu như thế nào,bàn có những loại hình thù nào
1,thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu,hãy cho biết thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu
1,thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu,thời gian làm việc quy định bao nhiêu giờ trong một ngày dành cho người lái xe
0,thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu,múi giờ ở các quốc gia thay đổi như thế nào 
0,thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu,quy định về múi giờ trên thế giới ra sao 
1,kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào,hãy cho biết kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào
1,kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào,những loại hình nào có trong kinh doanh vận tải hành khách bằng xe ô tô
0,kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào,lịch sử Việt Nam có liên quan đến Trung Quốc không 
0,kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào,ai là người đọc bản Tuyên ngôn độc lập năm 1945
1,hàng nguy hiểm hàng có mùi hôi thối hoặc động vật hàng hoá khác có ảnh hưởng đến sức khoẻ hành khách được nhận chở trên xe khách hay không,hãy tìm hiểu hàng nguy hiểm hàng có mùi hôi thối hoặc động vật hàng hoá khác có ảnh hưởng đến sức khoẻ hành khách được nhận chở trên xe khách như thế nào 
1,hàng nguy hiểm hàng có mùi hôi thối hoặc động vật hàng hoá khác có ảnh hưởng đến sức khoẻ hành khách được nhận chở trên xe khách hay không,hãy cho biết hàng nguy hiểm hàng có mùi hôi thối hoặc động vật hàng hoá khác có ảnh hưởng đến sức khoẻ hành khách được nhận chở trên xe khách hay không 
